Группа навыков,Навык,"Минимальные знания, применение для самых простых задач","Уверенные знания, применение для повседневных задач","Глубокие знания, применение знаний, внедрение на проекте, адаптация, обучение","Очень глубокие знания, применение для задач любой сложности"
Виды тестирования,,,,,
,Функциональное тестирование,"Знаю теорию и применяю в работе
• Понимаю, что проверяет функциональное тестирование
• Использую функциональное тестирование в работе",,,
,Тестирование безопасности,"Поверхностно знаком с теорией
• Знаю принципы безопасности ПО
• Знаю виды уязвимостей","Хорошо разбираюсь в теории
• Знаю методы тестирования безопасности
• Понимаю, как могут измениться подходы к тестированию с использоваением тестирования безопасности","Применяю знания
• Применяю знания в проекте по необходимости","Глубокие знания в теории и неоднократное применение
• Разбираюсь в продвинутых техниках тестирования безопасности
• Слежу за обновлениями в сфере безопасности и тестирования
• Сертификат (?)"
,Тестирование производительности,"Поверхностно знаком с теорией
• Знаю виды тестирования производительности и разницу между ними (нагрузка, стресс, объемное, стабильности)
• Знаю зачем производится тестирование производительности","Хорошо разбираюсь в теории
• Понимаю, как могут измениться подходы к тестированию с использованием тестирования производительности
• Могу проанализировать результаты и выработать стратегию тестирования
• Могу использовать инструменты и делал это в пробном режиме по инструкции","Применяю на практике
• Уверенно использую инструменты на проекте или занимался внедрением вида тестирования на проекте","Сертификация
• ISTQB
• Micro Focus Certification (инструментные)"
,Тестирование юзабилити,"Знаю теорию
• Знаю аспекты тестирования удобства использования
• Знаю уровни проведения тестирования удобства использования","Умею выполнять
• Инициирую и умею проводить тестирование удобства использования","Сертификация
• ISTQB
• UXQB",
,Тестирование локализации,"Знаю теорию
• Понимаю для чего нужно тестирование локализации
• Понимаю на что, следует обратить внимание при тестировании локализации","Умею выполнять
• Пишу проверки на локализацию или адаптирую существующие","Внедряю на проекте
• Инициирую тестирование локализации на проекте при необходимости",
,Инсталляционное тестирование,"Знаю теорию
• Понимаю, что такое тестирование инсталляции
• Знаю какие действия нужно провести для инсталляционного тестирования (установки и удаления)
• Знаю и понимаю, что такое накат
• Знаю и понимаю, что такое миграция
• Знаю и понимаю чем отличается накат от миграции
• Знаю и понимаю, что такое бесшовная авторизация","Умею выполнять
• Знаю особенности тестирования инсталляции (что проверить при установке, что при удалении)
• Понимаю когда нужно проводить тестирование инсталляции
• Знаю когда нужно проводить и провожу тестирование миграции и накат","Внедряю на проекте
• Инициирую необходимость тестирования инсталляции на проекте (?)",
,Конфигурационное тестирование,"Знаю теорию
• Знаю что такое конфигурационное тестирование и как его проводят на мобильных устройствах
• Знаю уровни проведения конфигурационного тестирования (?)","Умею выполнять
• Подбираю нужные конфигурации
• Веду матрицу покрытия, анализирую используемые конфигурации
• Провожу приоритезацию конфигураций","Адаптирую под условия проекта
• Подстраиваю процесс конфигурационного тестирования под нужды проекта (например, проверяю различное поведение сети для стриминга видео)",
,Типы автоматизированного тестирования,"Поверхностно знаком с теорией
• Знаю какие есть типы автоматизированного тестирования и как они соотносятся с ручным тестированием","Хорошо разбираюсь в теории
• Знаю детали автотестирования, могу определить целесообразность тестирования на проекте
• Понимаю, как могут измениться подходы к тестированию с использоваением автоматизированного тестирования","Умею на практике
• Применяю автоматизацию тестирования на комерческом проекте или обладаю  нужными знаниями чтобы начать (прошел стажировку в автоматизации)","Хорошие знания в теории и навыке
• Имею опыт автоматизации на нескольких проектах
• Самостоятельно развиваю автоматизацию на текущих проектах
• Могу самостоятельно построить процесс автоматизации на новом проекте и/или стеке технологий"
,Регрессионное тестирование,"Знаю технику
• Знаю этот вид тестирования
• Знаю подвиды тестирования: Повторное тестирование всех, Повторное тестирование рискованных случаев использования,  Повторное тестирование по профилю, Повторное тестирование измененного сегмента, Повторное тестирование в брандмауэре","Умею применять технику
• Понимаю в каком случае его можно использовать
• Знаю, когда и на какой стадии проекта нужно регрессионное тестирование
• Применяю в проекте","Хорошо разбираюсь в технике
• Могу аргументировать необходимость регрессионного тестирования или определить тип регрессионного тестирования",
Основы тестирования,,,,,
